providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
Standard Fire Insurance Company (The)	04-19-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21065	01-02-2016
Hanover American Insurance Company	11-08-2017	Premium and Rating	Premium Refund	Justified	9057	30-04-2015
Plaza Insurance Company	09-11-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21056	05-03-2017
Oxford Health Insurance, Incorporated	08-23-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	24-11-2015
Quincy Mutual Fire Insurance Company	11-01-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	18-11-2017
Allstate Fire and Casualty Insurance Company	09-18-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11082	21-06-2017
Quincy Mutual Fire Insurance Company	09-11-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21069	27-12-2015
Patrons Mutual Insurance Company of Connecticut	11-01-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11080	12-01-2018
Patrons Mutual Insurance Company of Connecticut	11-15-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19081	05-05-2014
Patrons Mutual Insurance Company of Connecticut	11-13-2017	Utilization Review	Satisfied	Furnished Information	21071	09-01-2017
Anthem Health Plans, Inc	11-15-2017	Unfair Claims Practice	Claim Paid With Interest	Voluntary Reconsider	20063	25-05-2016
Government Employees Insurance Company	10-20-2017	Underwriting	Non-Renewal Rescinded	Unjustified	11074	01-03-2015
Standard Fire Insurance Company (The)	11-17-2017	Premium and Rating	Company Position Upheld	Unjustified	11075	20-11-2014
Allianz Life Insurance Company of North America	11-15-2017	Unfair Claims Practice	Claim Paid With Interest	Voluntary Reconsider	20086	21-11-2017
Liberty Mutual Fire Insurance Company	09-21-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	04-02-2018
SAFECO Insurance Company of Illinois	09-21-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	24-11-2013
Liberty Mutual Fire Insurance Company	11-17-2017	Premium and Rating	Company Position Upheld	Unjustified	11075	29-06-2017
Anthem Health Plans, Inc	11-03-2017	Unfair Claims Practice	Corrective Action	Justified	9051	25-09-2015
GEICO General Insurance Company	11-20-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	14-12-2015
ConnectiCare Insurance Company, Inc	11-13-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11067	22-04-2017
Crum & Forster Specialty Insurance Company	11-15-2017	Utilization Review	External Review Info Sent	Furnished Information	21082	11-09-2013
LM General Insurance Company	11-17-2017	Underwriting	Non-Renewal Upheld	Unjustified	11061	04-04-2013
GEICO Indemnity Company	11-17-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21051	19-07-2013
ConnectiCare Insurance Company, Inc	11-15-2017	Utilization Review	External Review Info Sent	Furnished Information	21075	17-07-2013
LM General Insurance Company	11-07-2017	Unfair Claims Practice	Contract Provision	Unjustified	11056	29-04-2016
Allianz Life Insurance Company of North America	11-13-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11079	06-04-2017
Anthem Health Plans, Inc	10-24-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	12-05-2013
Aetna Life Insurance Company	11-17-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	23-03-2014
Covenant Insurance Company	11-08-2017	Unfair Claims Practice	Enter Arbitration	Justified	9053	07-06-2015
FirstComp Insurance Company	11-15-2017	Unfair Claims Practice	Claim Settled	Unjustified	11055	27-10-2015
Aetna Life Insurance Company	11-08-2017	Unfair Claims Practice	Corrective Action	Justified	9055	12-06-2013
Philadelphia Indemnity Insurance Company	11-02-2017	Unfair Claims Practice	Contract Provision	Unjustified	11068	29-05-2014
Philadelphia Indemnity Insurance Company	10-10-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21073	26-06-2017
FirstComp Insurance Company	11-01-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21058	30-01-2015
American Pet Insurance Company	10-26-2017	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20058	09-05-2015
Hanover Insurance Company (The)	11-22-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	24-09-2016
Allstate Property and Casualty Insurance Company	11-16-2017	Unfair Claims Practice	Contract Provision	Unjustified	11081	02-12-2014
Golden Rule Insurance Company	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	07-09-2016
Metropolitan Group Property and Casualty Insurance Company	02-10-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11090	08-02-2015
HealthyCT, Inc.	11-14-2017	Utilization Review	Furnished Information	Furnished Information	21051	08-07-2017
Golden Rule Insurance Company	11-15-2017	Unfair Claims Practice	Contract Provision	Unjustified	11062	23-06-2014
Metropolitan Group Property and Casualty Insurance Company	11-15-2017	Underwriting	Pol Restored-Reinstated	Justified	9096	18-04-2014
Allstate Property and Casualty Insurance Company	10-10-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21080	01-10-2017
Liberty Insurance Corporation	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	08-08-2017
Metropolitan Group Property and Casualty Insurance Company	11-01-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21088	27-07-2015
Homesite Insurance Company	11-16-2017	Unfair Claims Practice	Contract Provision	Unjustified	11059	10-09-2013
Standard Fire Insurance Company (The)	11-14-2017	Marketing-Sales	Company Position Upheld	Unjustified	11075	29-03-2013
United of Omaha Life Insurance Company	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	07-05-2016
Anthem Health Plans, Inc	11-06-2017	Underwriting	Cancellation Upheld	Unjustified	11053	06-01-2013
Brighthouse Life Insurance Company	11-15-2017	Unfair Claims Practice	Additional Money Received	Unjustified	11073	05-06-2016
ConnectiCare Inc	11-08-2017	Unfair Claims Practice	Corrective Action	Justified	9043	29-01-2018
GEICO General Insurance Company	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	12-10-2017
Mid-Century Insurance Company	11-21-2017	Premium and Rating	Corrective Action	Justified	9061	08-01-2016
GEICO Indemnity Company	11-20-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19056	20-02-2015
USAA Casualty Insurance Company	09-26-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11062	28-10-2017
ConnectiCare Inc	11-22-2017	FOI Inquiry	Furnished Information	Furnished Information	21052	05-01-2015
Progressive Direct Insurance Company	11-20-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19070	15-11-2017
Amica Mutual Insurance Company	09-26-2017	Unfair Claims Practice	Corrective Action	Justified	9062	20-08-2017
Anthem Health Plans, Inc	11-22-2017	Premium and Rating	Cancellation Upheld	Furnished Information	21058	10-05-2015
GEICO Indemnity Company	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	28-11-2016
Brighthouse Life Insurance Company	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	28-05-2013
Mid-Century Insurance Company	11-15-2017	Premium and Rating	Company Position Upheld	Unjustified	11067	17-01-2017
American Modern Home Insurance Company	11-29-2017	Unfair Claims Practice	Additional Money Received	Unjustified	11078	23-09-2013
Mid-Century Insurance Company	11-22-2017	Premium and Rating	Company Position Upheld	Unjustified	11063	25-12-2017
Republic-Franklin Insurance Company	11-20-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11067	04-06-2014
CSAA Affinity Insurance Company	09-28-2017	Utilization Review	Claim Settled	Voluntary Reconsider	20059	20-01-2016
Meridian Security Insurance Company	11-13-2017	Unfair Claims Practice	Contract Provision	Unjustified	11068	14-09-2014
Allstate Fire and Casualty Insurance Company	11-20-2017	Unfair Claims Practice	Corrective Action	Furnished Information	21076	25-03-2014
Republic-Franklin Insurance Company	10-30-2017	Marketing-Sales	Company Position Upheld	Unjustified	11073	18-05-2016
Permanent General Assurance Corporation	11-02-2017	Utilization Review	Coverage Granted	Furnished Information	21065	26-07-2015
GEICO Indemnity Company	12-04-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19052	21-09-2014
Graphic Arts Mutual Insurance Company	11-20-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11069	19-06-2016
Allstate Insurance Company	12-04-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19055	01-11-2015
GEICO Indemnity Company	11-15-2017	Unfair Claims Practice	Additional Money Received	Unjustified	11063	23-12-2014
Graphic Arts Mutual Insurance Company	11-22-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	10-08-2015
Anthem Health Plans, Inc	11-02-2017	Marketing-Sales	Satisfied	Furnished Information	21043	23-04-2017
Integon National Insurance Company	11-27-2017	Marketing-Sales	Pol Restored-Reinstated	Voluntary Reconsider	20071	27-04-2016
Integon National Insurance Company	11-13-2017	Premium and Rating	Corrective Action	Unjustified	11066	25-07-2014
Progressive Direct Insurance Company	11-21-2017	Unfair Claims Practice	Insufficient Information	Furnished Information	21075	17-02-2013
GEICO Indemnity Company	11-15-2017	Marketing-Sales	Corrective Action	Unjustified	11055	12-02-2014
21st Century North America Insurance Company	11-09-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	23-11-2016
Allstate Insurance Company	08-23-2017	Unfair Claims Practice	Claim Settled	Justified	9053	02-05-2017
ConnectiCare Insurance Company, Inc	11-22-2017	Unfair Claims Practice	Claim Settled	Unjustified	11063	09-07-2013
USAA Casualty Insurance Company	11-09-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11063	06-05-2014
Anthem Health Plans, Inc	11-17-2017	Unfair Claims Practice	Corrective Action	Justified	9056	09-01-2018
Allstate Fire and Casualty Insurance Company	11-17-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11082	25-09-2013
Anthem Health Plans, Inc	11-21-2017	Premium and Rating	Corrective Action	Unjustified	11056	27-02-2013
Nationwide General Insurance Company	11-22-2017	Unfair Claims Practice	Claim Settled	Unjustified	11064	28-12-2014
Allstate Insurance Company	10-06-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Justified	9059	28-01-2016
Nationwide Mutual Insurance Company	11-27-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21073	14-06-2015
Metropolitan Property and Casualty Insurance Company	06-15-2017	Unfair Claims Practice	Contract Provision	Unjustified	11085	28-08-2015
United Services Automobile Association	11-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	12-04-2016
Anthem Health Plans, Inc	09-25-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	07-04-2013
ConnectiCare Benefits, Inc.	05-25-2017	Marketing-Sales	Furnished Information	Unjustified	11063	04-10-2017
AXA Equitable Life Insurance Company	10-04-2017	Unfair Claims Practice	Claim Settled	Justified	9059	23-01-2016
Anthem Health Plans, Inc	11-27-2017	Unfair Claims Practice	Policy Not In Force	Furnished Information	21058	06-09-2016
Northwestern Mutual Life Insurance Company	11-16-2017	Premium and Rating	Company Position Upheld	Unjustified	11080	20-02-2015
United Services Automobile Association	10-19-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	25-11-2017
Hiscox Insurance Company Inc.	10-17-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	30-10-2016
Covenant Insurance Company	11-28-2017	Premium and Rating	Company Position Upheld	Unjustified	11064	03-11-2016
United Services Automobile Association	06-15-2017	Unfair Claims Practice	Contract Provision	Unjustified	11071	13-10-2015
National Casualty Company	11-28-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11063	19-02-2016
Crum & Forster Specialty Insurance Company	12-04-2017	Underwriting	Pol Restored-Reinstated	Furnished Information	21074	05-07-2014
Protective Life Insurance Company	11-27-2017	Unfair Claims Practice	Policy Not In Force	Furnished Information	21067	06-09-2017
Progressive Direct Insurance Company	10-12-2017	Unfair Claims Practice	Claim Settled	Unjustified	11059	29-12-2013
Allstate Fire and Casualty Insurance Company	11-15-2017	Marketing-Sales	Company Position Upheld	Unjustified	11082	21-01-2018
ConnectiCare Insurance Company, Inc	11-16-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	18-01-2018
United Services Automobile Association	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	19-04-2017
Stillwater Property and Casualty Insurance Company	11-28-2017	Utilization Review	Furnished Information	Furnished Information	21085	03-06-2015
AmGUARD Insurance Company	12-08-2017	Premium and Rating	Rate Increase Explained	Furnished Information	21058	26-12-2016
Lincoln Heritage Life Insurance Company	11-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	15-04-2015
Progressive Casualty Insurance Company	10-19-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	11-06-2016
Anthem Health Plans, Inc	12-13-2017	Premium and Rating	Rate Increase Explained	Furnished Information	21062	06-10-2014
CSAA Fire & Casualty Insurance Company	11-22-2017	Marketing-Sales	Company Position Upheld	Unjustified	11076	24-05-2014
USAA Casualty Insurance Company	11-28-2017	Utilization Review	External Review Info Sent	Furnished Information	21071	06-11-2013
SAFECO Insurance Company of America	11-30-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	05-03-2015
GEICO General Insurance Company	11-15-2017	Unfair Claims Practice	Claim Settled	Justified	9058	14-10-2016
United Services Automobile Association	11-30-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	24-06-2014
GEICO General Insurance Company	11-22-2017	Marketing-Sales	Company Position Upheld	Unjustified	11069	08-07-2016
Transamerica Life Insurance Company	11-28-2017	Utilization Review	External Review Info Sent	Furnished Information	21075	17-10-2016
Aetna Life Insurance Company	11-29-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19062	24-01-2014
Virginia Surety Company Inc.	11-29-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19061	10-08-2013
Continental Insurance Company (The)	12-04-2017	Premium and Rating	Furnished Information	Furnished Information	21066	27-01-2016
Allstate Fire and Casualty Insurance Company	11-14-2017	Unfair Claims Practice	Claim Settled	Justified	9072	06-05-2013
ConnectiCare Inc	10-30-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11054	21-12-2016
ConnectiCare Benefits, Inc.	11-22-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21065	19-09-2013
Allstate Fire and Casualty Insurance Company	10-26-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Questionable	12082	14-04-2014
USAA Casualty Insurance Company	12-04-2017	Unfair Claims Practice	Corrective Action	Justified	9058	15-08-2013
MedAmerica Insurance Company	12-04-2017	Unfair Claims Practice	Corrective Action	Justified	9055	27-03-2016
National Continental Insurance Company	11-14-2017	Unfair Claims Practice	Claim Settled	Justified	9065	24-10-2015
ConnectiCare Insurance Company, Inc	11-29-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19069	03-10-2016
American Commerce Insurance Company	11-29-2017	Marketing-Sales	Satisfied	Furnished Information	21059	11-11-2015
ConnectiCare Insurance Company, Inc	11-29-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19069	27-03-2014
American Commerce Insurance Company	11-02-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	08-11-2017
National Continental Insurance Company	12-04-2017	Unfair Claims Practice	Claim Settled	Unjustified	11061	15-03-2016
ConnectiCare Insurance Company, Inc	11-22-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21073	06-07-2014
Liberty Mutual Insurance Company	10-17-2017	Unfair Claims Practice	Coverage Extended	Justified	9064	07-09-2014
Liberty Mutual Insurance Company	11-27-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21068	11-01-2016
Bankers Life and Casualty Company	11-28-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	08-07-2015
Anthem Health Plans, Inc	11-29-2017	Marketing-Sales	Other [Enter Disposition]	Questionable	12064	21-04-2016
American Bankers Insurance Company of Florida	11-07-2017	Unfair Claims Practice	Corrective Action	Justified	9071	04-07-2014
Anthem Health Plans, Inc	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	12-03-2017
Plymouth Rock Assurance Corporation	10-17-2017	Underwriting	Other [Enter Disposition]	Justified	9075	05-10-2017
Metropolitan Group Property and Casualty Insurance Company	11-28-2017	Utilization Review	External Review Info Sent	Furnished Information	21098	27-11-2015
Metropolitan Group Property and Casualty Insurance Company	12-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11091	22-07-2015
Anthem Health Plans, Inc	10-04-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21052	26-06-2013
SAFECO Insurance Company of America	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	04-07-2013
Combined Insurance Company of America	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	14-11-2016
SAFECO Insurance Company of America	11-21-2017	Premium and Rating	Company Position Upheld	Unjustified	11073	10-10-2017
Progressive Casualty Insurance Company	10-17-2017	Underwriting	Other [Enter Disposition]	Justified	9078	06-05-2013
State Farm Mutual Automobile Insurance Company	11-27-2017	Premium and Rating	Contract Provision	Unjustified	11079	03-07-2017
Anthem Health Plans, Inc	08-23-2017	Unfair Claims Practice	Claim Settled	Justified	9052	14-12-2013
Progressive Direct Insurance Company	11-21-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21074	28-10-2016
ConnectiCare Benefits, Inc.	11-27-2017	Marketing-Sales	Contract Provision	Furnished Information	21060	18-05-2013
Garrison Property and Casualty Insurance Company	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11085	21-03-2016
Liberty Insurance Corporation	08-23-2017	Unfair Claims Practice	Claim Settled	Justified	9057	20-12-2015
HealthyCT, Inc.	11-16-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11053	05-02-2013
GEICO Indemnity Company	11-28-2017	Utilization Review	External Review Info Sent	Furnished Information	21063	18-11-2016
OOIDA Risk Retention Group, Inc.	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	29-05-2013
ConnectiCare Insurance Company, Inc	11-21-2017	Premium and Rating	Company Position Upheld	Unjustified	11073	14-10-2016
American Security Insurance Company	11-28-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	01-09-2014
Anthem Health Plans, Inc	11-16-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	06-05-2014
Progressive Direct Insurance Company	11-22-2017	Marketing-Sales	Furnished Information	Furnished Information	21072	18-07-2013
Progressive Direct Insurance Company	10-04-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21064	17-08-2014
GEICO Indemnity Company	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	16-11-2013
OOIDA Risk Retention Group, Inc.	11-28-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11064	19-01-2017
John Hancock Life Insurance Company (USA)	11-21-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21078	30-09-2017
Anthem Health Plans, Inc	11-29-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21052	07-02-2015
ConnectiCare Insurance Company, Inc	10-30-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	26-05-2016
Continental Casualty Company	11-06-2017	Underwriting	Furnished Information	Furnished Information	21059	22-07-2014
GEICO Indemnity Company	11-29-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11055	24-01-2015
Anthem Health Plans, Inc	11-29-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11056	21-11-2013
Progressive Direct Insurance Company	11-29-2017	Utilization Review	External Review Info Sent	Furnished Information	21076	13-12-2015
ConnectiCare Insurance Company, Inc	10-30-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	03-07-2016
Progressive Direct Insurance Company	11-15-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	07-09-2016
Trumbull Insurance Company	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11064	24-01-2017
State Farm Fire & Casualty Company	12-19-2017	Premium and Rating	Furnished Information	Furnished Information	21070	14-11-2016
Progressive Direct Insurance Company	11-15-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21069	04-03-2014
Anthem Health Plans, Inc	12-05-2017	Premium and Rating	Corrective Action	Justified	9051	13-09-2013
Anthem Health Plans, Inc	12-04-2017	Underwriting	Furnished Information	Furnished Information	21055	31-07-2016
Progressive Direct Insurance Company	12-07-2017	Utilization Review	Contract Provision	Furnished Information	21064	03-09-2013
Progressive Casualty Insurance Company	11-30-2017	Marketing-Sales	Policy Not In Force	Furnished Information	21072	07-07-2013
ConnectiCare Insurance Company, Inc	11-29-2017	Marketing-Sales	Corrective Action	Unjustified	11067	27-02-2013
Metropolitan Life Insurance Company	11-13-2017	Unfair Claims Practice	Corrective Action	Justified	9067	17-12-2016
Liberty Mutual Fire Insurance Company	12-19-2017	Premium and Rating	Furnished Information	Furnished Information	21073	24-10-2015
ConnectiCare Benefits, Inc.	11-29-2017	Marketing-Sales	Corrective Action	Unjustified	11059	25-01-2017
Allstate Fire and Casualty Insurance Company	12-06-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11071	10-12-2016
Allstate Fire and Casualty Insurance Company	06-23-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11082	14-10-2014
ConnectiCare Insurance Company, Inc	11-15-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21068	29-10-2013
Liberty Mutual Fire Insurance Company	12-05-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21065	04-05-2013
Progressive Direct Insurance Company	12-05-2017	Utilization Review	External Review Info Sent	Furnished Information	21071	22-05-2017
State Farm Fire & Casualty Company	12-07-2017	Utilization Review	Contract Provision	Furnished Information	21062	02-03-2014
Genworth Life Insurance Company	09-19-2017	Unfair Claims Practice	Claim Settled	Justified	9059	07-01-2018
ConnectiCare Insurance Company, Inc	12-05-2017	Utilization Review	External Review Info Sent	Furnished Information	21070	28-03-2015
GEICO Indemnity Company	10-05-2017	Unfair Claims Practice	Satisfied	Furnished Information	21042	19-12-2014
Anthem Health Plans, Inc	11-13-2017	Premium and Rating	Company Position Upheld	Unjustified	11062	14-10-2015
Anthem Health Plans, Inc	12-05-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21052	02-11-2017
ConnectiCare Benefits, Inc.	12-18-2017	Premium and Rating	Rate Increase Explained	Furnished Information	21065	21-03-2013
Athene Annuity and Life Company	12-05-2017	Unfair Claims Practice	Claim Settled	Unjustified	11053	09-03-2017
XL Specialty Insurance Company	11-30-2017	Utilization Review	External Review Info Sent	Furnished Information	21070	30-05-2017
Genworth Life Insurance Company	12-05-2017	Underwriting	Non-Renewal Upheld	Unjustified	11059	10-04-2014
Athene Annuity and Life Company	12-05-2017	Unfair Claims Practice	Claim Settled	Unjustified	11054	08-02-2014
SAFECO Insurance Company of Illinois	11-06-2017	Premium and Rating	Contract Provision	Unjustified	11064	19-04-2015
Standard Fire Insurance Company (The)	12-05-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	06-08-2014
ConnectiCare Insurance Company, Inc	11-06-2017	Premium and Rating	Contract Provision	Unjustified	11063	26-01-2017
Anthem Health Plans, Inc	12-05-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11057	01-11-2017
ConnectiCare Inc	11-30-2017	Utilization Review	External Review Info Sent	Furnished Information	21056	28-07-2016
Anthem Health Plans, Inc	12-18-2017	Premium and Rating	Rate Increase Explained	Furnished Information	21062	25-02-2018
UnitedHealthcare Insurance Company	12-21-2017	Utilization Review	Insufficient Information	Furnished Information	21073	12-10-2014
ConnectiCare Inc	12-21-2017	Utilization Review	Insufficient Information	Furnished Information	21055	22-03-2016
Connecticut General Life Insurance Company	11-01-2017	Marketing-Sales	Furnished Information	Furnished Information	21073	11-04-2017
XL Specialty Insurance Company	12-13-2017	Underwriting	Cancellation Upheld	Unjustified	11064	14-12-2014
Anthem Health Plans, Inc	12-08-2017	Unfair Claims Practice	Claim Settled	Unjustified	11047	18-02-2014
Anthem Health Plans, Inc	12-05-2017	Premium and Rating	Company Position Upheld	Unjustified	11057	24-09-2016
CSAA Affinity Insurance Company	12-08-2017	Unfair Claims Practice	Claim Settled	Unjustified	11054	24-09-2017
Anthem Health Plans, Inc	11-02-2017	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20047	13-05-2016
Standard Fire Insurance Company (The)	12-11-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	16-06-2014
CSAA Affinity Insurance Company	12-13-2017	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20058	08-05-2015
Lincoln Benefit Life Company	12-18-2017	Premium and Rating	Furnished Information	Furnished Information	21064	11-10-2016
Government Employees Insurance Company	12-05-2017	Unfair Claims Practice	Satisfied	Furnished Information	21057	07-06-2015
Lincoln Benefit Life Company	12-01-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	10-07-2015
Standard Fire Insurance Company (The)	12-01-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	30-06-2017
Anthem Health Plans, Inc	12-05-2017	Unfair Claims Practice	Satisfied	Furnished Information	21043	24-08-2016
Transamerica Life Insurance Company	12-11-2017	FOI Inquiry	Furnished Information	Furnished Information	21066	14-12-2017
ConnectiCare Inc	12-13-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21052	26-03-2017
UnitedHealthcare Insurance Company	12-18-2017	Premium and Rating	Rate Increase Explained	Furnished Information	21072	05-04-2015
Anthem Health Plans, Inc	12-07-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21047	01-10-2016
Bunker Hill Insurance Company	12-07-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21052	21-09-2017
Nationwide Mutual Insurance Company	12-05-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	12-02-2015
Metropolitan Group Property and Casualty Insurance Company	12-05-2017	Unfair Claims Practice	Med Jurisdiction Explained	Furnished Information	21094	20-04-2015
Nationwide Mutual Insurance Company	11-29-2017	Unfair Claims Practice	Inter-Company Arbitration	Unjustified	11075	19-05-2015
Progressive Casualty Insurance Company	12-05-2017	Premium and Rating	Company Position Upheld	Unjustified	11071	08-02-2015
Selective Insurance Company of South Carolina	12-05-2017	Underwriting	Cancellation Upheld	Unjustified	11074	25-06-2016
HealthyCT, Inc.	12-20-2017	Premium and Rating	Company Position Upheld	Unjustified	11052	09-09-2014
ConnectiCare Benefits, Inc.	12-14-2017	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20055	20-02-2017
Anthem Health Plans, Inc	12-15-2017	Utilization Review	External Review Info Sent	Furnished Information	21064	17-03-2015
Hiscox Insurance Company Inc.	12-05-2017	Utilization Review	Company Position Upheld	Furnished Information	21062	13-04-2017
Hiscox Insurance Company Inc.	12-05-2017	Utilization Review	Company Position Upheld	Furnished Information	21062	15-02-2014
Anthem Health Plans, Inc	11-30-2017	Marketing-Sales	Contract Provision	Unjustified	11057	23-03-2017
Allstate Insurance Company	12-19-2017	Premium and Rating	Company Position Upheld	Unjustified	11064	04-03-2014
Anthem Health Plans, Inc	01-02-2018	Other	No Cause For Action	Unjustified	11053	03-10-2014
Transamerica Premier LIfe Insurance Company	12-05-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Unjustified	11074	12-03-2013
Union Security Insurance Company	12-12-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11065	31-07-2014
Union Security Insurance Company	11-15-2017	Unfair Claims Practice	Corrective Action	Justified	9064	29-04-2016
Progressive Casualty Insurance Company	12-08-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11071	18-02-2013
Anthem Health Plans, Inc	11-22-2017	Unfair Claims Practice	Premium Refund	Questionable	12050	13-09-2016
Allstate Fire and Casualty Insurance Company	11-22-2017	Unfair Claims Practice	Premium Refund	Questionable	12073	25-04-2017
