PROPRIETARYNAME	DOSAGEFORMNAME	LABELERNAME	SUBSTANCENAME	PHARM_CLASSES	
care one sinus	CAPSULE	"Actavis Pharma, Inc."	SILVER NITRATE; ARSENIC TRIIODIDE; HYOSCYAMUS NIGER; VERATRUM ALBUM ROOT	"Full Opioid Agonists [MoA],Opioid Agonist [EPC],Barbiturate [EPC],Barbiturates [Chemical/Ingredient],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Methylxanthine [EPC],Xanthines [Chemical/Ingredient],Cyclooxygenase Inhibitors [MoA],Decreased Prostaglandin Production [PE],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC],Platelet Aggregation Inhibitor [EPC],Decreased Platelet Aggregation [PE]"	595
careone aspirin	TABLET	"Actavis Pharma, Inc."	"ACONITUM NAPELLUS; CALCIUM SULFIDE; POTASSIUM CHLORIDE; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; RUMEX CRISPUS ROOT"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC],Cyclooxygenase Inhibitors [MoA],Decreased Prostaglandin Production [PE],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC],Platelet Aggregation Inhibitor [EPC],Decreased Platelet Aggregation [PE]"	453
careone hair regrowth treatment	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	"Watson Laboratories, Inc."	TRIBASIC CALCIUM PHOSPHATE; POTASSIUM SULFATE; SODIUM SULFATE	"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"	237
careone childrens allergy relief	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	"Watson Laboratories, Inc."	"TRIBASIC CALCIUM PHOSPHATE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE"	"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"	274
careone stomach relief	TABLET	"Actavis Pharma, Inc."	ONION; ARSENIC TRIIODIDE; ATROPA BELLADONNA; FERROSOFERRIC PHOSPHATE; SODIUM CHLORIDE	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	180
care one clearlax	TABLET	"Actavis Pharma, Inc."	"MATRICARIA RECUTITA; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	150
CareOne Adult Tussin	TABLET	"Actavis Pharma, Inc."	ACONITUM NAPELLUS; SILICON DIOXIDE	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	127
Careone Original Strength Triple Antibiotic	TABLET	"Actavis Pharma, Inc."	"POTASSIUM PHOSPHATE, DIBASIC; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE; SODIUM SULFATE"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	201
CAREONE BACITRACIN	TABLET	"Actavis Pharma, Inc."	ACONITUM NAPELLUS; ARNICA MONTANA; MATRICARIA RECUTITA; PASSIFLORA INCARNATA FLOWERING TOP; SCUTELLARIA LATERIFLORA	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	206
CAREONE ALLERGY	"CAPSULE, EXTENDED RELEASE"	"Watson Laboratories, Inc."	"CALCIUM FLUORIDE; EQUISETUM ARVENSE TOP; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE; SODIUM SULFATE; PULSATILLA VULGARIS"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	229
Care One Maximum Strength First Aid Antibiotic	CAPSULE	"Actavis Pharma, Inc."	"FERROSOFERRIC PHOSPHATE; POTASSIUM PHOSPHATE, DIBASIC; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE"	"Cannabinoid [EPC],Cannabinoids [Chemical/Ingredient]"	219
Ultra Strength Pain Relief	CAPSULE	"Actavis Pharma, Inc."	"POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE"	"Cannabinoid [EPC],Cannabinoids [Chemical/Ingredient]"	191
Care One hydrocortisone	CAPSULE	"Actavis Pharma, Inc."	CALCIUM FLUORIDE; TRIBASIC CALCIUM PHOSPHATE; MATRICARIA RECUTITA; MATRICARIA RECUTITA; PASSIFLORA INCARNATA FLOWERING TOP	"Cannabinoid [EPC],Cannabinoids [Chemical/Ingredient]"	224
Careone Amber Antibacterial Hand	"PATCH, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"ARNICA MONTANA; BELLIS PERENNIS; MATRICARIA RECUTITA; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; COMFREY ROOT"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	229
Care One Acid Reducer plus Antacid	"PATCH, EXTENDED RELEASE"	"Actavis Pharma, Inc."	TRIBASIC CALCIUM PHOSPHATE; CALCIUM SILICATE; ACTIVATED CHARCOAL; POTASSIUM BROMIDE; VIOLA TRICOLOR	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	223
CareOne Lubricant Eye Plus	"PATCH, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"TRIBASIC CALCIUM PHOSPHATE; CALCIUM SULFATE ANHYDROUS; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	210
CareOne Mucus Relief ER	"PATCH, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"CALCIUM FLUORIDE; TRIBASIC CALCIUM PHOSPHATE; POTASSIUM PHOSPHATE, DIBASIC"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	187
CareOne Daytime Severe Cold and Cough	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	ATROPA BELLADONNA; GELSEMIUM SEMPERVIRENS ROOT; CALCIUM SULFIDE; MERCURIUS SOLUBILIS	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	225
careone milk of magnesia	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"FERROSOFERRIC PHOSPHATE; POTASSIUM SULFATE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	211
CareOne Nitetime Cold Flu Relief	"TABLET, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"ATROPA BELLADONNA; BERBERIS VULGARIS ROOT BARK; OYSTER SHELL CALCIUM CARBONATE, CRUDE; LYTTA VESICATORIA; LYCOPODIUM CLAVATUM SPORE"	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	254
Acetaminophen-APAP 8 Hour	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	ARISAEMA TRIPHYLLUM ROOT; DELPHINIUM STAPHISAGRIA SEED; VIOLA TRICOLOR	Decreased Central Nervous System Disorganized Electrical Activity [PE]	222
CareOne Lice Solution	"CAPSULE, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"TRIBASIC CALCIUM PHOSPHATE; ACTIVATED CHARCOAL; MAGNESIUM CARBONATE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE; SILICON DIOXIDE"	"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]"	271
careone liquid antacid	CAPSULE	"Actavis Pharma, Inc."	HORSE CHESTNUT; ARTEMISIA CINA PRE-FLOWERING TOP; CROTON TIGLIUM SEED; FAGOPYRUM ESCULENTUM; POTASSIUM SULFATE; SULFUR	"Nitrofuran Antibacterial [EPC],Nitrofurans [Chemical/Ingredient],Nitrofuran Antibacterial [EPC],Nitrofurans [Chemical/Ingredient]"	296
COTTONTAILS	"TABLET, EXTENDED RELEASE"	"Actavis Pharma, Inc."	MATRICARIA RECUTITA; LYCOPODIUM CLAVATUM SPORE; STRYCHNOS NUX-VOMICA SEED	"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA]"	291
COTTONTAILS DIAPER RASH	"TABLET, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"CALCIUM SILICATE; ECHINACEA, UNSPECIFIED; CALCIUM SULFIDE; SILICON DIOXIDE; SULFUR IODIDE"	"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA]"	319
Anticavity Rinse Fluoride Rinse	"TABLET, FILM COATED"	"Actavis Pharma, Inc."	EUPHRASIA STRICTA; GRAPHITE; MERCURIUS SOLUBILIS; PULSATILLA VULGARIS; SCABIES LESION LYSATE (HUMAN)	"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"	306
Instant Burn Relief	"TABLET, FILM COATED"	"Actavis Pharma, Inc."	AGRIMONIA EUPATORIA; SILVER NITRATE; CALENDULA OFFICINALIS FLOWERING TOP; EUPHRASIA STRICTA	"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"	285
Care One Naproxen Sodium	CAPSULE	"Actavis Pharma, Inc."	ANTIMONY TRISULFIDE; BENZOIC ACID; LEDUM PALUSTRE TWIG; STRYCHNOS NUX-VOMICA SEED; QUERCUS ROBUR NUT; RHODODENDRON AUREUM LEAF; SILICON DIOXIDE	"Nitrofuran Antibacterial [EPC],Nitrofurans [Chemical/Ingredient]"	258
care one nicotine	CAPSULE	"Actavis Pharma, Inc."	ONION; ARSENIC TRIIODIDE; EUPHRASIA STRICTA; POTASSIUM DICHROMATE; SAMBUCUS CANADENSIS FLOWER; WYETHIA HELENIOIDES ROOT	"Nitrofuran Antibacterial [EPC],Nitrofurans [Chemical/Ingredient]"	227
CareOne All Day Allergy D	CAPSULE	"Actavis Pharma, Inc."	"MATRICARIA RECUTITA; CINCHONA OFFICINALIS BARK; POTASSIUM PHOSPHATE, DIBASIC; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; STRYCHNOS NUX-VOMICA SEED"	"Nitrofuran Antibacterial [EPC],Nitrofurans [Chemical/Ingredient]"	260
careone antacid	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	AMMONIUM CARBONATE; APIS MELLIFERA; MATRICARIA RECUTITA; TOXICODENDRON PUBESCENS LEAF; URTICA URENS	Atypical Antipsychotic [EPC]	199
CareOne Allergy Medication	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	ARNICA MONTANA; SOLANUM DULCAMARA TOP; BERBERIS VULGARIS ROOT BARK; BRYONIA ALBA ROOT; TOXICODENDRON PUBESCENS LEAF	Atypical Antipsychotic [EPC]	226
CareOne Infants Acetaminophen	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	"TRIBASIC CALCIUM PHOSPHATE; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; STRYCHNOS NUX-VOMICA SEED; TOXICODENDRON PUBESCENS LEAF"	Atypical Antipsychotic [EPC]	238
Care One migraine relief	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	POTASSIUM DICHROMATE; POTASSIUM CHLORIDE; POTASSIUM SULFATE	Atypical Antipsychotic [EPC]	168
Triacting Day Time Cold and Cough	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	ATROPA BELLADONNA; FERROSOFERRIC PHOSPHATE; CALCIUM SULFIDE; MERCURIUS SOLUBILIS; SALICYLIC ACID; SILICON DIOXIDE	Decreased Central Nervous System Disorganized Electrical Activity [PE]	273
care one nose drops	TABLET	"Actavis Pharma, Inc."	POTASSIUM DICHROMATE; PULSATILLA VULGARIS; CALCIUM SULFIDE; THUJA OCCIDENTALIS LEAFY TWIG; SPIGELIA ANTHELMIA	"Decreased Cholesterol Absorption [PE],Dietary Cholesterol Absorption Inhibitor [EPC]"	238
CareOne Acid Relief	"TABLET, FILM COATED"	"Actavis Pharma, Inc."	PULSATILLA VULGARIS; DELPHINIUM STAPHISAGRIA SEED; SCABIES LESION LYSATE (HUMAN); GRAPHITE	"Antifibrinolytic Agent [EPC],Decreased Fibrinolysis [PE]"	204
careone infants pain relief	"TABLET, FILM COATED, EXTENDED RELEASE"	"Actavis Pharma, Inc."	SILVER NITRATE; CASTOR FIBER SCENT GLAND SECRETION; HOPS; SODIUM CHLORIDE; TREPONEMIC SKIN CANKER HUMAN	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	234
CareOne Cold Sore Treatment	"TABLET, FILM COATED"	"Actavis Pharma, Inc."	HYOSCYAMUS NIGER; ZINC; ARTEMISIA CINA PRE-FLOWERING TOP; MATRICARIA RECUTITA	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	220
CareOne Acid Reducer Complete	"TABLET, FILM COATED"	"Actavis Pharma, Inc."	"OYSTER SHELL CALCIUM CARBONATE, CRUDE; WOOD CREOSOTE; LYCOPODIUM CLAVATUM SPORE; MERCURIUS SOLUBILIS; SEPIA OFFICINALIS JUICE"	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	270
careone ibuprofen pm	"TABLET, FILM COATED"	"Actavis Pharma, Inc."	"POTASSIUM PHOSPHATE, DIBASIC; WOOD CREOSOTE; NITRIC ACID; PULSATILLA VULGARIS; SEPIA OFFICINALIS JUICE"	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"	238
CAREONE ANTIBACTERIAL SANITIZER	"TABLET, FILM COATED"	"Watson Laboratories, Inc."	CHELIDONIUM MAJUS; CHENOPODIUM VULVARIA; CHICORY ROOT; CORTISONE ACETATE; EUPHRASIA STRICTA; GALPHIMIA GLAUCA FLOWERING TOP; HEDERA HELIX FLOWERING TWIG; HISTAMINE DIHYDROCHLORIDE; JUGLANS CINEREA BRANCH BARK/ROOT BARK; POTASSIUM CHLORIDE; SUS SCROFA NASAL MUCOSA; SODIUM CHLORIDE; ANEMONE PATENS; SACCHAROMYCES CEREVISIAE RNA; SCHOENOCAULON OFFICINALE SEED; TEUCRIUM SCORODONIA FLOWERING TOP; ADENOSINE CYCLIC PHOSPHATE; EPINEPHRINE; CORTICOTROPIN; ONION; AMBROSIA ARTEMISIIFOLIA	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"	712
CAREONE ANTIBACTERIAL HAND SANITIZER	"TABLET, FILM COATED"	"Watson Laboratories, Inc."	ADENOSINE CYCLIC PHOSPHATE; EPINEPHRINE; CORTICOTROPIN; ONION; CORTISONE ACETATE; EUPHRASIA STRICTA; GALPHIMIA GLAUCA FLOWERING TOP; HISTAMINE DIHYDROCHLORIDE; JUNIPERUS VIRGINIANA TWIG; POTASSIUM CHLORIDE; SUS SCROFA NASAL MUCOSA; SODIUM CHLORIDE; SACCHAROMYCES CEREVISIAE RNA; RUMEX CRISPUS ROOT; SCHOENOCAULON OFFICINALE SEED	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"	565
Skin Corrective Innovative Skin Perfector BB Broad Spectrum SPF15 Sunscreen Light Medium	"TABLET, FILM COATED"	"Watson Laboratories, Inc."	ADENOSINE CYCLIC PHOSPHATE; EPINEPHRINE; CORTICOTROPIN; AGRIMONIA EUPATORIA; AGROSTEMMA GITHAGO SEED; AILANTHUS ALTISSIMA FLOWERING TWIG; ONION; CORTISONE ACETATE; CYNODON DACTYLON; EQUISETUM HYEMALE; EUPHRASIA STRICTA; GALPHIMIA GLAUCA FLOWERING TOP; HISTAMINE DIHYDROCHLORIDE; POTASSIUM CHLORIDE; SUS SCROFA NASAL MUCOSA; SODIUM CHLORIDE; PLATANUS X ACERIFOLIA WHOLE; POPULUS BALSAMIFERA LEAF BUD; SACCHAROMYCES CEREVISIAE RNA; SCHOENOCAULON OFFICINALE SEED; SOLIDAGO VIRGAUREA FLOWERING TOP	"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"	782
careone childrens mucus relief	CAPSULE	"Actavis Pharma, Inc."	"AMANITA MUSCARIA FRUITING BODY; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; DATURA STRAMONIUM; LYCOSA TARANTULA"	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [Chemical/Ingredient],Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Decreased Blood Pressure [PE]"	406
CareOne Tioconazole 1	CAPSULE	"Actavis Pharma, Inc."	"ACONITUM NAPELLUS; BERBERIS VULGARIS ROOT BARK; MATRICARIA RECUTITA; CITRULLUS COLOCYNTHIS FRUIT PULP; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; TOXICODENDRON PUBESCENS LEAF"	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [Chemical/Ingredient],Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Decreased Blood Pressure [PE]"	461
CareOne Daytime Nighttime Cold and Flu	CAPSULE	"Actavis Pharma, Inc."	CARBO ANIMALIS; GRAPHITE; PHYTOLACCA AMERICANA ROOT; LYCOPODIUM CLAVATUM SPORE; THUJA OCCIDENTALIS LEAFY TWIG	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [Chemical/Ingredient],Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Decreased Blood Pressure [PE]"	415
careone gas relief	CAPSULE	"Actavis Pharma, Inc."	TRIBASIC CALCIUM PHOSPHATE; GRAPHITE; SILICON DIOXIDE; ALLYLTHIOUREA; HYDROFLUORIC ACID; ARNICA MONTANA; CALCIUM FLUORIDE; CALENDULA OFFICINALIS FLOWERING TOP; PHYTOLACCA AMERICANA ROOT; JUNIPERUS SABINA LEAFY TWIG; THUJA OCCIDENTALIS LEAFY TWIG	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [Chemical/Ingredient],Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Decreased Blood Pressure [PE]"	531
CareOne Nasal and Sinus Decongestant	CAPSULE	"Actavis Pharma, Inc."	ANTIMONY TRISULFIDE; CAUSTICUM; SOLANUM DULCAMARA TOP; NITRIC ACID; JUNIPERUS SABINA LEAFY TWIG; DELPHINIUM STAPHISAGRIA SEED; SULFUR; THUJA OCCIDENTALIS LEAFY TWIG	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [Chemical/Ingredient],Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Decreased Blood Pressure [PE]"	468
Care One Suphedrine Nasal Decongestant	CAPSULE	"Actavis Pharma, Inc."	"MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; TOXICODENDRON PUBESCENS LEAF; MATRICARIA RECUTITA; ACONITUM NAPELLUS; BERBERIS VULGARIS ROOT BARK; CITRULLUS COLOCYNTHIS FRUIT PULP"	"Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [Chemical/Ingredient],Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Decreased Blood Pressure [PE]"	478
care one pain relief pm	TABLET	"Actavis Pharma, Inc."	GELSEMIUM SEMPERVIRENS ROOT; BRYONIA ALBA ROOT; ANAMIRTA COCCULUS SEED; LOBELIA INFLATA	"Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient]"	193
CARE ONE SLEEP AID	CAPSULE	"Actavis Pharma, Inc."	RANUNCULUS BULBOSUS; TOXICODENDRON PUBESCENS LEAF; ARSENIC TRIOXIDE; CAPSICUM; MENTHA PIPERITA; SODIUM CHLORIDE; DAPHNE MEZEREUM BARK	"5-alpha Reductase Inhibitor [EPC],5-alpha Reductase Inhibitors [MoA],Adrenergic alpha-Antagonists [MoA],alpha-Adrenergic Blocker [EPC]"	312
DayTime NiteTime Cold Flu Relief	"TABLET, FILM COATED"	"Watson Laboratories, Inc."	"PSEUDOGNAPHALIUM OBTUSIFOLIUM; COPPER; PLATINUM; CLAVICEPS PURPUREA SCLEROTIUM; STRYCHNOS IGNATII SEED; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; STRYCHNOS NUX-VOMICA SEED; PASSIFLORA INCARNATA FLOWERING TOP; LEAD; STRYCHNINE; OYSTER SHELL CALCIUM CARBONATE, CRUDE; HYOSCYAMUS NIGER"	"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	443
Childrens Cough Relief	"TABLET, FILM COATED"	"Watson Laboratories, Inc."	"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE; EQUISETUM ARVENSE TOP; PULSATILLA VULGARIS; SODIUM SULFATE; CALCIUM FLUORIDE"	"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	269
CareOne Nighttime Severe Cold and Cough	"TABLET, FILM COATED"	"Watson Laboratories, Inc."	"JACOBAEA MARITIMA; EUPHRASIA STRICTA; NAPHTHALENE; CAUSTICUM; OYSTER SHELL CALCIUM CARBONATE, CRUDE; CALCIUM FLUORIDE; SODIUM CHLORIDE; PHOSPHORUS; QUASSIA AMARA WOOD; SILICON DIOXIDE"	"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	352
DayTime Nitetime cold and flu relief	"TABLET, FILM COATED"	"Watson Laboratories, Inc."	CROTON TIGLIUM SEED; TOXICODENDRON RADICANS LEAF; SMILAX REGELII ROOT; PLANTAGO MAJOR; SODIUM CHLORIDE	"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"	268
CareOne Ibuprofen	SOLUTION	"Actavis Pharma, Inc."	FAGOPYRUM ESCULENTUM; JUGLANS REGIA LEAF; VINCA MINOR; HYDRASTIS CANADENSIS WHOLE; CENTELLA ASIATICA; PHENOL	"Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	215
CareOne Daily Facial	SOLUTION	"Actavis Pharma, Inc."	PHYTOLACCA AMERICANA ROOT; PSEUDOGNAPHALIUM OBTUSIFOLIUM; HYPERICUM PERFORATUM; CONIUM MACULATUM FLOWERING TOP; GELSEMIUM SEMPERVIRENS ROOT; CITRULLUS COLOCYNTHIS FRUIT; GUAIACUM OFFICINALE RESIN; LEDUM PALUSTRE TWIG	"Anticholinergic [EPC],Cholinergic Antagonists [MoA]"	315
CareOne Lubricant	SOLUTION	"Actavis Pharma, Inc."	PHOSPHORUS; SANGUINARIA CANADENSIS ROOT; GRAPHITE; LYCOPODIUM CLAVATUM SPORE; RADIUM BROMIDE; THUJA OCCIDENTALIS LEAFY TWIG	"Anticholinergic [EPC],Cholinergic Antagonists [MoA],Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	282
careone daytime severe cold flu relief	TABLET	"Actavis Pharma, Inc"	SILVER NITRATE; VERATRUM ALBUM ROOT; ARSENIC TRIIODIDE; HYOSCYAMUS NIGER	"NMDA Receptor Antagonists [MoA],N-methyl-D-aspartate Receptor Antagonist [EPC]"	213
CareOne Adult Tussin CF	TABLET	"Actavis Pharma, Inc"	"DATURA STRAMONIUM; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; AMANITA MUSCARIA VAR. MUSCARIA; LYCOSA TARANTULA"	"NMDA Receptor Antagonists [MoA],N-methyl-D-aspartate Receptor Antagonist [EPC]"	234
Baby Healing	"TABLET, DELAYED RELEASE"	"Actavis Pharma, Inc."	AMANITA MUSCARIA FRUITING BODY; HYPERICUM PERFORATUM; SILICON DIOXIDE; PHOSPHORUS; ARSENIC TRIOXIDE	"Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient],Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient]"	269
CareOne Tussin DM	TABLET	"Actavis Pharma, Inc."	"SILVER NITRATE; CASTOR CANADENSIS SCENT GLAND SECRETION; HOPS; POTASSIUM PHOSPHATE, DIBASIC; IODINE; SODIUM CHLORIDE"	"Aluminum Complex [EPC],Organometallic Compounds [Chemical/Ingredient]"	228
Redness reliever	CAPSULE	"Actavis Pharma, Inc."	ARTEMISIA CINA FLOWER; SEMECARPUS ANACARDIUM JUICE; MATRICARIA RECUTITA; VIOLA TRICOLOR; CAMELLIA SINENSIS FLOWER	"Progesterone [Chemical/Ingredient],Progesterone [EPC]"	209
Advanced relief	CAPSULE	"Actavis Pharma, Inc."	RADIUM BROMIDE; ARSENIC TRIOXIDE; CALCIUM SULFIDE; GRAPHITE; VIOLA TRICOLOR	"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"	253
CareOne Tussin	CAPSULE	"Actavis Pharma, Inc."	"CINCHONA OFFICINALIS BARK; COFFEA ARABICA FRUIT; POTASSIUM PHOSPHATE, DIBASIC; STRYCHNOS NUX-VOMICA SEED; DELPHINIUM STAPHISAGRIA SEED"	"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"	311
CareOne Ultra Lubricant	CAPSULE	"Actavis Pharma, Inc."	"BRYONIA ALBA ROOT; MATRICARIA CHAMOMILLA FLOWERING TOP OIL; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; STRYCHNOS NUX-VOMICA SEED; PULSATILLA VULGARIS"	"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"	333
CareOne Cold Flu and sore throat	CAPSULE	"Actavis Pharma, Inc."	ACONITUM NAPELLUS; ARSENIC TRIOXIDE; PHOSPHORUS; COPPER; BRYONIA ALBA ROOT	"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"	269
Baby Care Healing	"CAPSULE, LIQUID FILLED"	"Actavis Pharma, Inc."	LILIUM LANCIFOLIUM WHOLE; STRYCHNOS NUX-VOMICA WHOLE; THUJA OCCIDENTALIS WHOLE; EQUISETUM HYEMALE; CAUSTICUM	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	286
CareOne Healing	SPRAY	"Actavis Pharma, Inc."	STRYCHNOS NUX-VOMICA WHOLE; CALCIUM PHOSPHATE; CITRULLUS COLOCYNTHIS WHOLE; SILVER NITRATE; FERROSOFERRIC PHOSPHATE	"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"	222
